Time,data
1654043966.2598078,26
1654043966.4559314,26
1654043966.6597567,26
1654043966.8658614,26
1654043967.055691,26
1654043967.2587306,26
1654043967.4577358,26
1654043967.6597018,26
1654043967.8628073,26
1654043968.053572,26
1654043968.2598636,26
1654043968.45953,26
1654043968.6585956,26
1654043968.8635461,26
1654043969.0555081,26
1654043969.2614434,26
1654043969.4552848,26
1654043969.6543062,25
1654043969.8602517,25
1654043970.055243,25
1654043970.2586143,25
1654043970.451063,25
1654043970.6583679,26
1654043970.8664215,26
1654043971.0584786,26
1654043971.260977,26
1654043971.4583864,26
1654043971.6592784,26
1654043971.8655536,26
1654043972.0588553,26
1654043972.2630563,26
1654043972.455853,26
1654043972.654923,26
1654043972.8649888,26
1654043973.0588663,26
1654043973.2596843,26
1654043973.4587066,26
1654043973.6586537,26
1654043973.8657136,26
1654043974.0607388,26
1654043974.2604647,26
1654043974.4585283,26
1654043974.6555376,26
1654043974.860035,26
1654043975.0544128,26
1654043975.2555645,26
1654043975.4543417,26
1654043975.6523745,26
1654043975.858303,26
1654043976.0595074,26
1654043976.2604709,26
1654043976.460679,26
1654043976.6584728,26
1654043976.8626332,26
1654043977.0586085,26
1654043977.260422,26
1654043977.4603105,26
1654043977.659007,26
1654043977.8619637,26
1654043978.0599637,27
1654043978.2599156,27
1654043978.4588559,27
1654043978.658825,27
1654043978.863784,27
1654043979.0598357,27
1654043979.2597106,27
1654043979.455776,27
1654043979.6547837,27
1654043979.8637302,27
1654043980.0555642,27
1654043980.253605,27
1654043980.45553,27
1654043980.6555555,27
1654043980.862813,27
1654043981.0586312,27
1654043981.2553868,27
1654043981.4594712,27
1654043981.6586635,27
1654043981.8673663,27
1654043982.059267,27
1654043982.2587936,27
1654043982.4601343,27
1654043982.65954,27
1654043982.8652875,27
1654043983.0594118,27
1654043983.2580965,27
1654043983.462102,27
1654043983.6590216,27
1654043983.8670094,27
1654043984.0589838,27
1654043984.2589386,27
1654043984.4619355,27
1654043984.6539347,27
1654043984.8649886,27
1654043985.0588017,27
1654043985.2598166,27
1654043985.459717,27
1654043985.6516895,27
1654043985.86473,27
1654043986.0567365,27
1654043986.2585557,27
1654043986.4596736,27
1654043986.6555922,27
1654043986.865704,27
1654043987.0586882,27
1654043987.2597957,27
1654043987.456453,27
1654043987.6543658,27
1654043987.8644352,27
1654043988.0597367,27
1654043988.2561455,27
1654043988.4584424,27
1654043988.652047,27
1654043988.8609612,27
1654043989.0591617,27
1654043989.2589955,27
1654043989.4609325,27
1654043989.660949,27
1654043989.8688514,27
1654043990.0618436,27
1654043990.258792,27
1654043990.4590275,27
1654043990.6557705,27
1654043990.8657584,27
1654043991.0596576,27
1654043991.262034,27
1654043991.460612,27
1654043991.6586092,27
1654043991.865609,27
1654043992.063657,27
1654043992.2594683,27
1654043992.460862,27
1654043992.6554015,27
1654043992.863554,27
1654043993.0514104,27
1654043993.26049,27
1654043993.4617326,27
1654043993.659677,27
1654043993.8683748,27
1654043994.0586777,27
1654043994.2585952,27
1654043994.460334,26
1654043994.655223,26
1654043994.865348,26
1654043995.0611567,26
1654043995.2561548,26
1654043995.4590971,26
1654043995.660062,26
1654043995.8652813,26
1654043996.0600138,26
1654043996.2609763,26
1654043996.4559608,27
1654043996.661991,27
1654043996.864089,27
1654043997.0570524,27
1654043997.2588327,27
1654043997.4528122,27
1654043997.6617918,27
1654043997.8687303,27
1654043998.0607212,27
1654043998.2602093,27
1654043998.4566817,27
1654043998.6616707,27
1654043998.8657238,27
1654043999.059873,27
1654043999.2598052,27
1654043999.4587238,27
1654043999.6607153,27
1654043999.8645523,27
1654044000.0593917,27
1654044000.260298,27
1654044000.4603362,27
1654044000.6603842,27
1654044000.8605459,27
1654044001.056237,27
1654044001.260161,27
1654044001.455181,27
1654044001.6520944,27
1654044001.8590384,27
1654044002.060023,27
1654044002.2590349,27
1654044002.455999,27
1654044002.6560023,27
1654044002.860871,27
1654044003.05897,27
1654044003.2598703,27
1654044003.4599338,27
1654044003.6588464,27
1654044003.8649175,27
1654044004.0567408,27
1654044004.2596602,27
1654044004.4586582,27
1654044004.6566296,27
1654044004.862835,27
1654044005.0588357,27
1654044005.2608445,27
1654044005.4595525,27
1654044005.660049,27
1654044005.8636532,27
1654044006.0554583,27
1654044006.2574353,27
1654044006.4564087,27
1654044006.6543412,27
1654044006.8623855,27
1654044007.0591908,27
1654044007.2522507,27
1654044007.4542854,27
1654044007.6561823,27
1654044007.8654673,27
1654044008.0561423,27
1654044008.2540622,27
1654044008.456109,27
1654044008.6589842,27
1654044008.8660898,27
1654044009.060882,27
1654044009.2588844,26
1654044009.4599655,26
1654044009.6558146,26
1654044009.868855,26
1654044010.0599823,26
1654044010.2607193,27
1654044010.4620507,27
1654044010.6557527,27
1654044010.865717,27
1654044011.059958,27
1654044011.2622573,27
1654044011.4597702,27
1654044011.6555085,27
1654044011.863973,27
1654044012.0604339,27
1654044012.2524326,26
1654044012.4554124,26
1654044012.6503034,26
1654044012.8602803,26
1654044013.0554063,26
1654044013.2565284,26
1654044013.4585652,26
1654044013.6591685,26
1654044013.8673375,26
1654044014.0561173,26
1654044014.2600026,26
1654044014.4600666,26
1654044014.6599839,26
1654044014.8660638,26
1654044015.0589957,26
1654044015.260946,26
1654044015.4620874,26
1654044015.6588342,27
1654044015.866883,26
1654044016.060747,26
1654044016.2607796,26
1654044016.4611537,26
1654044016.6598897,26
1654044016.8638904,26
1654044017.0566528,26
1654044017.2557297,26
1654044017.4605734,26
1654044017.6545355,26
1654044017.8594909,26
1654044018.05142,26
1654044018.2588353,25
1654044018.456456,26
1654044018.6564505,25
1654044018.8645191,25
1654044019.0603182,26
1654044019.260328,25
1654044019.456272,25
1654044019.6602407,25
1654044019.8655818,25
1654044020.0601764,25
1654044020.25512,23
1654044020.4531598,23
1654044020.6531796,23
1654044020.8609834,22
1654044021.055025,22
1654044021.255995,22
1654044021.4539573,21
1654044021.652854,21
1654044021.860857,21
1654044022.0604403,21
1654044022.25378,22
1654044022.4527519,23
1654044022.6560054,24
1654044022.8610756,23
1654044023.0607202,23
1654044023.2567012,24
1654044023.4556668,25
1654044023.6556785,25
1654044023.8605628,25
1654044024.057653,25
1654044024.2584982,25
1654044024.4595006,25
1654044024.6544256,25
1654044024.8595026,25
1654044025.056543,25
1654044025.259354,25
1654044025.4592657,25
1654044025.658361,25
1654044025.8614025,25
1654044026.055243,25
1654044026.2522006,25
1654044026.4551177,25
1654044026.6550941,25
1654044026.8572326,25
1654044027.0549939,25
1654044027.2560437,25
1654044027.4539587,25
1654044027.6569242,25
1654044027.8609543,25
1654044028.056864,25
1654044028.2558427,25
1654044028.4567711,25
