Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,pressure.data,temperature.data,depth.data
1654044162.899324,1527,1654044162,898779869,,102840.3040048817,28.64723543167114,0.1575399164185265
1654044163.0996394,1528,1654044163,98783493,,102841.5837364137,28.646739634275438,0.15767080538456768
1654044163.2997541,1529,1654044163,298779964,,102842.70201844662,28.646673527956008,0.15778518154501475
1654044163.4996555,1530,1654044163,498813629,,102841.81653644911,28.649648312330246,0.15769461581290237
1654044163.699221,1531,1654044163,698812484,,102842.51452411998,28.650177162885665,0.15776600491465156
1654044163.901387,1532,1654044163,899741888,,102840.58533220249,28.650375481843948,0.15756869014271505
1654044164.1025047,1533,1654044164,99860191,,102843.97028674385,28.65311889410019,0.1579148980690954
1654044164.3013732,1534,1654044164,300138473,,102844.83502566033,28.654242701530457,0.1580033422308939
1654044164.501403,1535,1654044164,500131130,,102840.6530362923,28.655895359516144,0.15757561481252996
1654044164.7010107,1536,1654044164,700140476,,102838.38010129763,28.65685390114784,0.1573431425291699
1654044164.9012015,1537,1654044164,900275707,,102840.8478357555,28.660621961355208,0.15759553860098643
1654044165.1006186,1538,1654044165,99851608,,102842.16723172943,28.66151439666748,0.15773048438493362
1654044165.3029957,1539,1654044165,300149917,,102840.1795377144,28.663233160972595,0.15752718610874875
1654044165.5014324,1540,1654044165,500098228,,102841.39095700315,28.66600962638855,0.15765108820398
1654044165.7010722,1541,1654044165,700212240,,102842.4240967668,28.666736795902253,0.15775675614452797
1654044165.9006836,1542,1654044165,899914979,,102841.57056778495,28.667265646457672,0.15766945851754274
1654044166.100537,1543,1654044166,99793434,,102842.20384963282,28.668885251283644,0.15773422960757857
1654044166.3004835,1544,1654044166,299759149,,102838.47962478164,28.672521098852158,0.15735332163751647
1654044166.5027504,1545,1654044166,500236749,,102843.51368019101,28.671331185102463,0.1578681970555671
1654044166.701329,1546,1654044166,700181245,,102840.55811815936,28.6750331389904,0.15756590673238366
1654044166.9018064,1547,1654044166,900210142,,102841.27033139538,28.675429776906967,0.15763875080298254
1654044167.1008415,1548,1654044167,99901199,,102842.10627590655,28.681214079856872,0.15772424991744502
1654044167.3013728,1549,1654044167,300207138,,102841.5799187838,28.682503153085708,0.15767041492327352
1654044167.5016081,1550,1654044167,500399589,,102841.38119084427,28.680156378746034,0.1576500893363221
1654044167.7017064,1551,1654044167,700254917,,102844.17793942348,28.67949531555176,0.15793613646469087
1654044167.901748,1552,1654044167,900490760,,102845.55152101553,28.68144545197487,0.15807662427003322
1654044168.101997,1553,1654044168,100345849,,102840.64013549953,28.684420236349105,0.1575742953393566
1654044168.3007865,1554,1654044168,299812316,,102843.98925378354,28.68779165863991,0.15791683798864284
1654044168.5010064,1555,1654044168,500143527,,102844.74701061886,28.69020453929901,0.15799434018828837
1654044168.7009513,1556,1654044168,699984788,,102844.38637199771,28.69268352627754,0.15795745462670266
1654044168.9004798,1557,1654044168,899746656,,102843.00025622587,28.689874007701874,0.15781568484479652
1654044169.1028798,1558,1654044169,100099802,,102844.94406361296,28.6935429084301,0.15801449446440696
1654044169.3028808,1559,1654044169,300146102,,102841.14903966337,28.69344374895096,0.15762634527182617
1654044169.501239,1560,1654044169,500108242,,102844.94550706109,28.700946816205978,0.1580146420980537
1654044169.7036324,1561,1654044169,700135707,,102846.8197898993,28.700285753011702,0.15820634085410468
1654044169.902899,1562,1654044169,900092601,,102842.30706187656,28.702963058948516,0.15774478599657815
