Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,connected,armed,guided,manual_input,mode,system_status
1654043999.69771,143,1654043999,697146598,,True,False,False,True,POSCTL,3
1654044000.6978858,144,1654044000,697246690,,True,False,False,True,POSCTL,3
1654044001.6997104,145,1654044001,696761282,,True,False,False,True,POSCTL,3
1654044002.6982243,146,1654044002,697538337,,True,False,False,True,POSCTL,3
1654044003.6962597,147,1654044003,695395411,,True,False,False,True,POSCTL,3
1654044004.6989021,148,1654044004,698282540,,True,False,False,True,POSCTL,3
1654044005.698719,149,1654044005,696148058,,True,False,False,True,POSCTL,3
1654044006.6985755,150,1654044006,697979650,,True,False,False,True,POSCTL,3
1654044007.6978188,151,1654044007,696765797,,True,False,False,True,POSCTL,3
1654044008.6992283,152,1654044008,698629926,,True,False,False,True,POSCTL,3
1654044009.6979175,153,1654044009,697428944,,True,False,False,True,POSCTL,3
1654044010.6969686,154,1654044010,696385203,,True,False,False,True,POSCTL,3
1654044011.6988003,155,1654044011,698159628,,True,False,False,True,POSCTL,3
1654044012.69762,156,1654044012,696949683,,True,False,False,True,POSCTL,3
1654044013.6993062,157,1654044013,698784905,,True,False,False,True,POSCTL,3
1654044014.6982076,158,1654044014,697678460,,True,False,False,True,POSCTL,3
1654044015.6990268,159,1654044015,698469700,,True,False,False,True,POSCTL,3
1654044016.696886,160,1654044016,696353921,,True,False,False,True,POSCTL,3
1654044017.6991277,161,1654044017,698112143,,True,False,False,True,POSCTL,3
1654044018.69873,162,1654044018,697981050,,True,False,False,True,POSCTL,3
1654044019.6975884,163,1654044019,696900216,,True,False,False,True,POSCTL,3
1654044020.697526,164,1654044020,696933549,,True,False,False,True,POSCTL,3
1654044021.6974642,165,1654044021,696552215,,True,False,False,True,POSCTL,3
1654044022.6972375,166,1654044022,696450066,,True,False,False,True,POSCTL,3
1654044023.699589,167,1654044023,696420658,,True,False,False,True,POSCTL,3
1654044024.6991007,168,1654044024,696367380,,True,False,False,True,POSCTL,3
1654044025.6984584,169,1654044025,697867231,,True,False,False,True,POSCTL,3
1654044026.6994164,170,1654044026,698739675,,True,False,False,True,POSCTL,3
1654044027.6981847,171,1654044027,697607804,,True,False,False,True,POSCTL,3
1654044028.697326,172,1654044028,696709266,,True,False,False,True,POSCTL,3
1654044029.6968398,173,1654044029,696293117,,True,False,False,True,POSCTL,3
1654044030.6987512,174,1654044030,698047876,,True,False,False,True,POSCTL,3
1654044031.6993697,175,1654044031,698862913,,True,False,False,True,POSCTL,3
1654044032.699653,176,1654044032,698772412,,True,False,False,True,POSCTL,3
1654044033.6976476,177,1654044033,696620004,,True,False,False,True,POSCTL,3
1654044034.6972523,178,1654044034,696432466,,True,False,False,True,POSCTL,3
1654044035.6968243,179,1654044035,696251706,,True,False,False,True,POSCTL,3
1654044036.6978738,180,1654044036,697162743,,True,False,False,True,POSCTL,3
1654044037.6995199,181,1654044037,698956427,,True,False,False,True,POSCTL,3
1654044038.6986084,182,1654044038,697904464,,True,False,False,True,POSCTL,3
1654044039.6980786,183,1654044039,696673686,,True,False,False,True,POSCTL,3
1654044040.6970506,184,1654044040,696509722,,True,False,False,True,POSCTL,3
1654044041.6968124,185,1654044041,696314147,,True,False,False,True,POSCTL,3
1654044042.697809,186,1654044042,697229054,,True,False,False,True,POSCTL,3
1654044043.6985428,187,1654044043,697963554,,True,False,False,True,POSCTL,3
1654044044.6983426,188,1654044044,696825405,,True,False,False,True,POSCTL,3
1654044045.6972942,189,1654044045,696688645,,True,False,False,True,POSCTL,3
1654044046.6970465,190,1654044046,696497589,,True,False,False,True,POSCTL,3
1654044047.6970375,191,1654044047,696428310,,True,False,False,True,POSCTL,3
1654044048.699874,192,1654044048,699185643,,True,False,False,True,POSCTL,3
1654044049.6985824,193,1654044049,698026124,,True,False,False,True,POSCTL,3
1654044050.6988559,194,1654044050,697873309,,True,False,False,True,POSCTL,3
1654044051.699143,195,1654044051,698651086,,True,False,False,True,POSCTL,3
1654044052.700206,196,1654044052,697638789,,True,False,False,True,POSCTL,3
1654044053.6979191,197,1654044053,697372640,,True,False,False,True,POSCTL,3
1654044054.6978295,198,1654044054,697220806,,True,False,False,True,POSCTL,3
1654044055.6987035,199,1654044055,698018269,,True,False,False,True,POSCTL,3
1654044056.6993704,200,1654044056,698834990,,True,False,False,True,POSCTL,3
1654044057.6979856,201,1654044057,697623638,,True,False,False,True,POSCTL,3
1654044058.699016,202,1654044058,698519878,,True,False,False,True,POSCTL,3
1654044059.7005708,203,1654044059,699518692,,True,False,False,True,POSCTL,3
1654044060.698641,204,1654044060,698180080,,True,False,False,True,POSCTL,3
1654044061.6986241,205,1654044061,698018598,,True,False,False,True,POSCTL,3
1654044062.7024937,206,1654044062,700351987,,True,False,False,True,POSCTL,3
1654044063.6994355,207,1654044063,698750431,,True,False,False,True,POSCTL,3
1654044064.6991453,208,1654044064,698619004,,True,False,False,True,POSCTL,3
1654044065.6999824,209,1654044065,699440503,,True,False,False,True,POSCTL,3
1654044066.698115,210,1654044066,697340429,,True,False,False,True,POSCTL,3
1654044067.6986408,211,1654044067,698138576,,True,False,False,True,POSCTL,3
1654044068.6997242,212,1654044068,699260057,,True,False,False,True,POSCTL,3
1654044069.699238,213,1654044069,698719631,,True,False,False,True,POSCTL,3
1654044070.6973207,214,1654044070,696633334,,True,False,False,True,POSCTL,3
1654044071.6999938,215,1654044071,699412574,,True,False,False,True,POSCTL,3
1654044072.6990063,216,1654044072,698323110,,True,False,False,True,POSCTL,3
1654044073.6995642,217,1654044073,699081332,,True,False,False,True,POSCTL,3
1654044074.6991048,218,1654044074,698485054,,True,False,False,True,POSCTL,3
1654044075.6995106,219,1654044075,698831831,,True,False,False,True,POSCTL,3
1654044076.6972165,220,1654044076,696653182,,True,False,False,True,POSCTL,3
1654044077.6990235,221,1654044077,697479033,,True,False,False,True,POSCTL,3
1654044078.6998608,222,1654044078,699346199,,True,False,False,True,POSCTL,3
1654044079.6977499,223,1654044079,697205551,,True,False,False,True,POSCTL,3
1654044080.699501,224,1654044080,698982550,,True,False,False,True,POSCTL,3
1654044081.6993825,225,1654044081,698845772,,True,False,False,True,POSCTL,3
1654044082.6973243,226,1654044082,696720475,,True,False,False,True,POSCTL,3
1654044083.6995358,227,1654044083,697487159,,True,False,False,True,POSCTL,3
1654044084.69987,228,1654044084,699316622,,True,False,False,True,POSCTL,3
1654044085.6991143,229,1654044085,698243899,,True,False,False,True,POSCTL,3
1654044086.700767,230,1654044086,700021065,,True,False,False,True,POSCTL,3
1654044087.6985123,231,1654044087,697863768,,True,False,False,True,POSCTL,3
1654044088.6992266,232,1654044088,698679508,,True,False,False,True,POSCTL,3
1654044089.7000563,233,1654044089,699529637,,True,False,False,True,POSCTL,3
1654044090.6999748,234,1654044090,699421211,,True,False,False,True,POSCTL,3
1654044091.6997545,235,1654044091,699227025,,True,False,False,True,POSCTL,3
1654044092.698686,236,1654044092,698030117,,True,False,False,True,POSCTL,3
1654044093.6986408,237,1654044093,697905727,,True,False,False,True,POSCTL,3
