Time,data
1654044528.8081832,109056.828125
1654044528.9076798,121924.7890625
1654044529.0078187,143938.234375
1654044529.1205604,112721.109375
1654044529.2090375,103901.8984375
1654044529.3079972,145048.625
1654044529.4077291,110622.859375
1654044529.5073757,97039.625
1654044529.6192613,97555.65625
1654044529.7074633,137165.78125
1654044529.8076425,128728.78125
1654044529.9073184,105539.4375
1654044530.0069036,110161.953125
1654044530.1188107,103738.796875
1654044530.206891,93151.921875
1654044530.3063154,87430.6484375
1654044530.4062831,113304.1640625
1654044530.5065646,108462.1640625
1654044530.619051,117169.671875
1654044530.706756,86199.546875
1654044530.8060296,112278.171875
1654044530.9062083,118206.671875
1654044531.006336,97758.296875
1654044531.1195865,108244.359375
1654044531.2065334,102871.5546875
1654044531.3068297,101779.265625
1654044531.4058418,93433.625
1654044531.5056422,94283.5859375
1654044531.6183176,102686.9296875
1654044531.705428,86177.453125
1654044531.8058276,98127.5390625
1654044531.905939,91976.421875
1654044532.0052407,92532.921875
1654044532.1184084,124130.3125
1654044532.2058792,94912.15625
1654044532.305218,103617.1875
1654044532.4049838,107066.0
1654044532.505401,100291.7421875
1654044532.6175342,103117.765625
1654044532.705611,90038.75
1654044532.8046196,88267.6875
1654044532.904564,107568.1328125
1654044533.004899,106414.625
1654044533.1166646,103469.984375
1654044533.2042258,118453.5234375
1654044533.3043835,121881.953125
1654044533.4034822,113923.3359375
1654044533.5037713,90658.953125
1654044533.616274,96720.28125
1654044533.7036476,89249.8359375
1654044533.8031166,107915.953125
1654044533.9029148,109809.6875
1654044534.0027754,112128.0703125
1654044534.1151457,96602.2109375
1654044534.2034783,91458.0234375
1654044534.3029127,89485.8828125
1654044534.406612,92915.7578125
1654044534.5067315,133600.484375
1654044534.6191335,111536.7265625
1654044534.7071044,77248.765625
1654044534.8067997,107888.625
1654044534.9069302,107394.5859375
1654044535.0064497,149928.515625
1654044535.1194322,89268.984375
1654044535.2067208,107029.53125
1654044535.3067036,97975.2421875
1654044535.4058301,130368.2578125
1654044535.5061026,102542.7890625
1654044535.6185114,97382.4609375
1654044535.7063234,114504.8671875
1654044535.8063304,89218.0625
1654044535.9053464,132491.625
1654044536.0056257,81084.0390625
1654044536.117231,111902.875
1654044536.205683,115765.2109375
1654044536.30423,84784.6171875
1654044536.4045324,113852.234375
