Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,rssi,channels_0,channels_1,channels_2,channels_3,channels_4,channels_5,channels_6,channels_7,channels_8,channels_9,channels_10,channels_11,channels_12,channels_13,channels_14,channels_15,channels_16,channels_17
1654044147.5877712,5804,1654044147,568898688,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044147.635733,5805,1654044147,610898688,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044147.6867194,5806,1654044147,674899712,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044147.7378595,5807,1654044147,716899712,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044147.7848263,5808,1654044147,780901248,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044147.8369958,5809,1654044147,823901248,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044147.8867795,5810,1654044147,867902272,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044147.9378152,5811,1654044147,931902272,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044147.9850726,5812,1654044147,972903040,,40,1494,1493,986,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044148.0367508,5813,1654044148,15903040,,40,1494,1493,986,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044148.0876465,5814,1654044148,79905088,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044148.1355605,5815,1654044148,123905088,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044148.186606,5816,1654044148,165905344,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044148.2364724,5817,1654044148,228905344,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044148.2876987,5818,1654044148,271906112,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044148.3356686,5819,1654044148,315906112,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044148.3864803,5820,1654044148,378906368,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044148.4378502,5821,1654044148,421906368,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044148.484516,5822,1654044148,463906880,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044148.536501,5823,1654044148,527906880,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044148.5874722,5824,1654044148,575908160,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044148.6366541,5825,1654044148,613908160,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044148.6877646,5826,1654044148,677910464,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044148.735627,5827,1654044148,719910464,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044148.7864182,5828,1654044148,783910720,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044148.8354034,5829,1654044148,826910720,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044148.8873463,5830,1654044148,869913024,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044148.936413,5831,1654044148,911913024,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044148.9864056,5832,1654044148,975914048,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044149.035457,5833,1654044149,18914048,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044149.0873616,5834,1654044149,81914560,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044149.1359205,5835,1654044149,125914560,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044149.1863348,5836,1654044149,167915072,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044149.2353597,5837,1654044149,231915072,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044149.2844014,5838,1654044149,274915840,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044149.3374317,5839,1654044149,317915840,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044149.387578,5840,1654044149,381918400,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044149.4362803,5841,1654044149,423918400,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044149.4872947,5842,1654044149,466919936,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044149.5352895,5843,1654044149,529919936,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044149.586318,5844,1654044149,573920960,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044149.6373448,5845,1654044149,615920960,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044149.6862304,5846,1654044149,678921728,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044149.7372975,5847,1654044149,722921728,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044149.7852905,5848,1654044149,764922240,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044149.837343,5849,1654044149,828922240,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044149.8872,5850,1654044149,871924544,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044149.9372718,5851,1654044149,914924544,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044149.987198,5852,1654044149,978927104,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044150.0352635,5853,1654044150,20927104,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044150.0861888,5854,1654044150,63928384,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044150.1366878,5855,1654044150,127928384,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044150.1862235,5856,1654044150,169930176,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044150.2377186,5857,1654044150,233930176,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044150.2862563,5858,1654044150,277931456,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044150.3372283,5859,1654044150,318931456,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044150.3854244,5860,1654044150,361931712,,40,1494,1494,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044150.4373055,5861,1654044150,425931712,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044150.4871352,5862,1654044150,469933248,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044150.5371633,5863,1654044150,533933248,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044150.5874789,5864,1654044150,575935296,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044150.6353168,5865,1654044150,623935296,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044150.6874063,5866,1654044150,681937344,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044150.735269,5867,1654044150,725937344,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044150.7863336,5868,1654044150,766938880,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044150.8381011,5869,1654044150,830938880,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044150.8860304,5870,1654044150,873940416,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044150.9360957,5871,1654044150,917940416,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044150.98705,5872,1654044150,981942720,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044151.0350833,5873,1654044151,22942720,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044151.0870185,5874,1654044151,65944512,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044151.1374195,5875,1654044151,129944512,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044151.187276,5876,1654044151,173946304,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044151.2351139,5877,1654044151,214946304,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044151.286017,5878,1654044151,278947328,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044151.3370256,5879,1654044151,321947328,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044151.384938,5880,1654044151,365948608,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044151.4372268,5881,1654044151,428948608,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044151.4872966,5882,1654044151,470948864,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044151.5350118,5883,1654044151,513948864,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044151.5859601,5884,1654044151,577950144,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
